0.0 318.6
0.00178065 3.1832e+2
0.00937463 3.1076e+2
0.0230068 2.7667e+2
0.042631 2.1035e+2
0.0681817, 1.3939e+2
0.0995817 8.7721e+1
0.136748 5.627e+1
0.179602 3.802e+1
0.228071 2.7268e+1
0.282107, 2.066e+1
0.341686 1.6373e+1
0.406823 1.3424e+1
0.477579 1.1272e+1
0.554072 9.6174
0.636488, 8.2871
0.725091 7.1818
0.820235 6.2421
0.922382 5.4316
1.03212 4.7265
1.15017, 4.1101
1.27743 3.5702
1.41501 3.097
1.56425 2.6821
1.72679 2.3186
1.90461, 2.0004
2.10016 1.722
2.31644 1.4788
2.55713 1.2664
2.82683 1.0812
3.13128, 9.1991e-1
3.47776 7.7965e-1
3.87553 6.5784e-1
4.3366 5.522e-1
4.87665 4.6071e-1
5.51655, 3.8156e-1
6.28448 3.1318e-1
7.21927 2.5416e-1
8.37558 2.0332e-1
9.83228 1.5966e-1
11.7066, 1.2241e-1
14.179 9.0954e-2
17.5384 6.4885e-2
22.2715 4.3891e-2
29.2508 2.7695e-2
40.168, 1.5939e-2
58.6667 8.0975e-3
93.8285 3.4329e-3
173.862 1.0815e-3
426.684 1.9126e-4
2246.37 7.2051e-6
