1.00000e+12i 9.61802e+00
1.10000e+13i 7.33101e+00
2.10000e+13i 5.27124e+00
3.10000e+13i 4.29793e+00
4.10000e+13i 3.82769e+00
5.10000e+13i 3.57562e+00
6.10000e+13i 3.42736e+00
7.10000e+13i 3.33350e+00
8.10000e+13i 3.27055e+00
9.10000e+13i 3.22633e+00
1.01000e+14i 3.19409e+00
1.11000e+14i 3.16983e+00
1.21000e+14i 3.15108e+00
1.31000e+14i 3.13626e+00
1.41000e+14i 3.12431e+00
1.51000e+14i 3.11449e+00
1.61000e+14i 3.10629e+00
1.71000e+14i 3.09934e+00
1.81000e+14i 3.09337e+00
1.91000e+14i 3.08817e+00
2.01000e+14i 3.08359e+00
2.11000e+14i 3.07951e+00
2.21000e+14i 3.07584e+00
2.31000e+14i 3.07249e+00
2.41000e+14i 3.06942e+00
2.51000e+14i 3.06657e+00
2.61000e+14i 3.06390e+00
2.71000e+14i 3.06139e+00
2.81000e+14i 3.05901e+00
2.91000e+14i 3.05673e+00
3.01000e+14i 3.05455e+00
3.11000e+14i 3.05243e+00
3.21000e+14i 3.05038e+00
3.31000e+14i 3.04837e+00
3.41000e+14i 3.04640e+00
3.51000e+14i 3.04447e+00
3.61000e+14i 3.04255e+00
3.71000e+14i 3.04066e+00
3.81000e+14i 3.03878e+00
3.91000e+14i 3.03691e+00
4.01000e+14i 3.03504e+00
4.11000e+14i 3.03318e+00
4.21000e+14i 3.03131e+00
4.31000e+14i 3.02944e+00
4.41000e+14i 3.02756e+00
4.51000e+14i 3.02568e+00
4.61000e+14i 3.02378e+00
4.71000e+14i 3.02187e+00
4.81000e+14i 3.01995e+00
4.91000e+14i 3.01801e+00
5.01000e+14i 3.01606e+00
5.11000e+14i 3.01409e+00
5.21000e+14i 3.01210e+00
5.31000e+14i 3.01010e+00
5.41000e+14i 3.00807e+00
5.51000e+14i 3.00603e+00
5.61000e+14i 3.00397e+00
5.71000e+14i 3.00188e+00
5.81000e+14i 2.99978e+00
5.91000e+14i 2.99765e+00
6.01000e+14i 2.99550e+00
6.11000e+14i 2.99333e+00
6.21000e+14i 2.99114e+00
6.31000e+14i 2.98892e+00
6.41000e+14i 2.98669e+00
6.51000e+14i 2.98443e+00
6.61000e+14i 2.98215e+00
6.71000e+14i 2.97984e+00
6.81000e+14i 2.97752e+00
6.91000e+14i 2.97517e+00
7.01000e+14i 2.97280e+00
7.11000e+14i 2.97040e+00
7.21000e+14i 2.96798e+00
7.31000e+14i 2.96555e+00
7.41000e+14i 2.96308e+00
7.51000e+14i 2.96060e+00
7.61000e+14i 2.95810e+00
7.71000e+14i 2.95557e+00
7.81000e+14i 2.95302e+00
7.91000e+14i 2.95045e+00
8.01000e+14i 2.94786e+00
8.11000e+14i 2.94524e+00
8.21000e+14i 2.94261e+00
8.31000e+14i 2.93995e+00
8.41000e+14i 2.93727e+00
8.51000e+14i 2.93458e+00
8.61000e+14i 2.93186e+00
8.71000e+14i 2.92912e+00
8.81000e+14i 2.92636e+00
8.91000e+14i 2.92358e+00
9.01000e+14i 2.92078e+00
9.11000e+14i 2.91796e+00
9.21000e+14i 2.91513e+00
9.31000e+14i 2.91227e+00
9.41000e+14i 2.90939e+00
9.51000e+14i 2.90650e+00
9.61000e+14i 2.90358e+00
9.71000e+14i 2.90065e+00
9.81000e+14i 2.89770e+00
9.91000e+14i 2.89473e+00
1.00100e+15i 2.89175e+00
1.01100e+15i 2.88874e+00
1.02100e+15i 2.88572e+00
1.03100e+15i 2.88269e+00
1.04100e+15i 2.87963e+00
1.05100e+15i 2.87656e+00
1.06100e+15i 2.87348e+00
1.07100e+15i 2.87037e+00
1.08100e+15i 2.86725e+00
1.09100e+15i 2.86412e+00
1.10100e+15i 2.86097e+00
1.11100e+15i 2.85781e+00
1.12100e+15i 2.85463e+00
1.13100e+15i 2.85143e+00
1.14100e+15i 2.84822e+00
1.15100e+15i 2.84500e+00
1.16100e+15i 2.84176e+00
1.17100e+15i 2.83851e+00
1.18100e+15i 2.83525e+00
1.19100e+15i 2.83197e+00
1.20100e+15i 2.82868e+00
1.21100e+15i 2.82538e+00
1.22100e+15i 2.82206e+00
1.23100e+15i 2.81873e+00
1.24100e+15i 2.81539e+00
1.25100e+15i 2.81204e+00
1.26100e+15i 2.80868e+00
1.27100e+15i 2.80530e+00
1.28100e+15i 2.80191e+00
1.29100e+15i 2.79852e+00
1.30100e+15i 2.79511e+00
1.31100e+15i 2.79169e+00
1.32100e+15i 2.78826e+00
1.33100e+15i 2.78482e+00
1.34100e+15i 2.78137e+00
1.35100e+15i 2.77791e+00
1.36100e+15i 2.77444e+00
1.37100e+15i 2.77097e+00
1.38100e+15i 2.76748e+00
1.39100e+15i 2.76398e+00
1.40100e+15i 2.76048e+00
1.41100e+15i 2.75697e+00
1.42100e+15i 2.75345e+00
1.43100e+15i 2.74992e+00
1.44100e+15i 2.74638e+00
1.45100e+15i 2.74284e+00
1.46100e+15i 2.73929e+00
1.47100e+15i 2.73573e+00
1.48100e+15i 2.73216e+00
1.49100e+15i 2.72859e+00
1.50100e+15i 2.72501e+00
1.51100e+15i 2.72143e+00
1.52100e+15i 2.71783e+00
1.53100e+15i 2.71424e+00
1.54100e+15i 2.71063e+00
1.55100e+15i 2.70703e+00
1.56100e+15i 2.70341e+00
1.57100e+15i 2.69979e+00
1.58100e+15i 2.69617e+00
1.59100e+15i 2.69254e+00
1.60100e+15i 2.68890e+00
1.61100e+15i 2.68527e+00
1.62100e+15i 2.68162e+00
1.63100e+15i 2.67798e+00
1.64100e+15i 2.67433e+00
1.65100e+15i 2.67067e+00
1.66100e+15i 2.66701e+00
1.67100e+15i 2.66335e+00
1.68100e+15i 2.65969e+00
1.69100e+15i 2.65602e+00
1.70100e+15i 2.65235e+00
1.71100e+15i 2.64867e+00
1.72100e+15i 2.64500e+00
1.73100e+15i 2.64132e+00
1.74100e+15i 2.63763e+00
1.75100e+15i 2.63395e+00
1.76100e+15i 2.63027e+00
1.77100e+15i 2.62658e+00
1.78100e+15i 2.62289e+00
